City,FAA,IATA,ICAO,Airport,Role,Enplanements
West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,100,624"
GEORGIA,,,,,,
Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,"34,226"
Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"50,501,858"
Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,"270,797"
Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,"36,054"
Columbus,CSG,CSG,KCSG,Columbus Metropolitan Airport,P-N,"44,813"
Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,"1,056,265"
Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,"40,275"
HAWAII,,,,,,
"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,P-S,"640,757"
"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,"9,656,340"
"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,"3,352,813"
"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Kona International Airport at Keahole,P-S,"1,569,602"
"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport,P-N,"92,560"
"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,P-N,"43,275"
"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport,P-S,"1,458,940"
IDAHO,,,,,,
Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-S,"1,633,507"
Hailey,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,"77,729"
Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,"146,213"
Lewiston,LWS,LWS,KLWS,Lewiston-Nez Perce County Airport,P-N,"72,724"
Pocatello / Arbon Valley,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,"34,462"
Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,"38,869"
ILLINOIS,,,,,,
Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,"79,988"
Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,"188,490"
Champaign / Urbana,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,"89,318"
Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"37,589,899"
Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"11,044,387"
Marion,MWA,MWA,KMWA,Williamson County Regional Airport,P-N,"10,044"
Moline,MLI,MLI,KMLI,Quad City International Airport,P-N,"364,393"
Peoria,PIA,PIA,KPIA,General Wayne A. Downing Peoria International Airport,P-N,"307,189"
Quincy,UIN,UIN,KUIN,Quincy Regional Airport (Baldwin Field),P-N,"7,847"
Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,"101,790"
Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,"93,269"
INDIANA,,,,,,
Evansville,EVV,EVV,KEVV,Evansville Regional Airport,P-N,"204,352"
Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport,P-N,"360,369"
Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,"4,216,766"
South Bend,SBN,SBN,KSBN,South Bend International Airport (was South Bend Regional),P-N,"329,957"
IOWA,,,,,,
Cedar Rapids,CID,CID,KCID,The Eastern Iowa Airport,P-S,"547,786"
Des Moines,DSM,DSM,KDSM,Des Moines International Airport,P-S,"1,216,357"
Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,"37,954"
Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field),P-N,"36,413"
Waterloo,ALO,ALO,KALO,Waterloo Regional Airport,P-N,"27,069"
KANSAS,,,,,,
Garden City,GCK,GCK,KGCK,Garden City Regional Airport,P-N,"26,825"
Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,"63,761"
Topeka,FOE,FOE,KFOE,Topeka Regional Airport (formerly Forbes Field Airport),P-N,"6,051"
Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (formerly Wichita Mid-Continent Airport),P-S,"781,944"
KENTUCKY,,,,,,
Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"3,269,979"
Lexington,LEX,LEX,KLEX,Blue Grass Airport,P-S,"638,316"
Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,"1,631,494"
Owensboro,OWB,OWB,KOWB,Owensboro-Daviess County Regional Airport,P-N,"23,537"
Paducah,PAH,PAH,KPAH,Barkley Regional Airport,P-N,"20,266"
LOUISIANA,,,,,,
Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,"129,776"
Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,"364,200"
Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport,P-N,"206,667"
Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,"53,576"
Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,"102,342"
New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"5,569,705"
Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,"270,395"
MAINE,,,,,,
Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,"269,013"
Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,"886,343"
Presque Isle,PQI,PQI,KPQI,Northern Maine Regional Airport at Presque Isle,P-N,"12,526"
Rockland,RKD,RKD,KRKD,Knox County Regional Airport,P-N,"16,206"
MARYLAND,,,,,,
Baltimore / Glen Burnie,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,P-L,"12,340,972"
Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,"27,274"
Salisbury,SBY,SBY,KSBY,Salisbury-Ocean City Wicomico Regional Airport,P-N,"58,695"
MASSACHUSETTS,,,,,,
Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"17,759,044"
Hyannis,HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field),P-N,"31,027"
Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,"126,197"
Provincetown,PVC,PVC,KPVC,Provincetown Municipal Airport,P-N,"10,074"
Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,"54,084"
Worcester,ORH,ORH,KORH,Worcester Regional Airport,P-N,"57,800"
MICHIGAN,,,,,,
Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"10,031"
Detroit / Romulus,DTW,DTW,KDTW,Detroit Metropolitan Wayne County Airport,P-L,"16,847,135"
Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"16,822"
Flint,FNT,FNT,KFNT,Bishop International Airport,P-S,"398,508"
Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,334,979"
Hancock / Calumet,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,439"
Iron Mountain / Kingsford,IMT,IMT,KIMT,Ford Airport,P-N,"12,604"
Kalamazoo / Battle Creek,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
Marquette / Gwinn,SAW,MQT,KSAW,Sawyer International Airport,P-N,"45,462"
Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,165"
Pellston,PLN,PLN,KPLN,Pellston Regional Airport of Emmet County,P-N,"25,497"
Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"122,469"
Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"20,974"
Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"223,924"
MINNESOTA,,,,,,
Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,"25,510"
Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,"18,200"
Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,"124,284"
Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,"12,654"
International Falls,INL,INL,KINL,Falls International Airport,P-N,"13,831"
Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,"18,123,844"
Rochester,RST,RST,KRST,Rochester International Airport,P-N,"112,864"
St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport,P-N,"15,615"
MISSISSIPPI,,,,,,
Columbus / West Point / Starkville,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"40,823"
Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-N,"305,157"
Jackson,JAN,JAN,KJAN,Jackson–Evers International Airport,P-S,"491,464"
MISSOURI,,,,,,
Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,"65,014"
Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"27,930"
Kansas City,MCI,MCI,KMCI,Kansas City International Airport (originally Mid-Continent International Airport),P-M,"5,391,557"
Springfield,SGF,SGF,KSGF,Springfield-Branson National Airport,P-N,"462,126"
St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,"6,793,076"
MONTANA,,,,,,
Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-S,"423,213"
Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport),P-S,"553,245"
Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,"25,890"
Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,"176,730"
Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,"103,239"
Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-N,"247,816"
Missoula,MSO,MSO,KMSO,Missoula International Airport,P-S,"381,582"
Sidney,SDY,SDY,KSDY,Sidney–Richland Municipal Airport,P-N,"8,065"
NEBRASKA,,,,,,
Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,"68,879"
Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,"162,876"
Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,"2,127,387"
NEVADA,,,,,,
Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,"211,615"
Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,"14,893"
Las Vegas,LAS,LAS,KLAS,McCarran International Airport,P-L,"22,833,267"
Las Vegas / North Las Vegas,VGT,VGT,KVGT,North Las Vegas Airport,P-N,"15,828"
Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-S,"1,771,864"
NEW HAMPSHIRE,,,,,,
Lebanon,LEB,LEB,KLEB,Lebanon Municipal Airport,P-N,"10,245"
Manchester,MHT,MHT,KMHT,Manchester–Boston Regional Airport,P-S,"995,403"
Portsmouth,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,"73,247"
NEW JERSEY,,,,,,
Atlantic City,ACY,ACY,KACY,Atlantic City International Airport,P-S,"589,091"
Trenton,TTN,TTN,KTTN,Trenton Mercer Airport,P-N,"278,436"
Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"19,923,009"
NEW MEXICO,,,,,,
Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,"2,341,719"
Hobbs,HOB,HOB,KHOB,Lea County Regional Airport,P-N,"14,707"
Roswell,ROW,ROW,KROW,Roswell International Air Center,P-N,"44,378"
Santa Fe,SAF,SAF,KSAF,Santa Fe Regional Airport,P-N,"71,252"
NEW YORK,,,,,,
Albany,ALB,ALB,KALB,Albany International Airport,P-S,"1,388,860"
Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,"68,415"
Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-M,"2,313,724"
Elmira / Corning,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,"139,583"
Farmingdale,FRG,FRG,KFRG,Republic Airport,P-N,"10,910"
Islip,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,"597,133"
Ithaca,ITH,ITH,KITH,Ithaca Tompkins Regional Airport,P-N,"88,692"
New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,"29,239,151"
New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"14,762,593"
Newburgh,SWF,SWF,KSWF,Stewart International Airport,P-N,"140,328"
Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,"126,028"
Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,"129,622"
Rochester,ROC,ROC,KROC,Greater Rochester International Airport,P-S,"1,186,002"
Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,"988,496"
Watertown,ART,ART,KART,Watertown International Airport,P-N,"17,312"
White Plains,HPN,HPN,KHPN,Westchester County Airport,P-S,"766,170"
NORTH CAROLINA,,,,,,
Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-S,"416,939"
Charlotte,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,"21,511,880"
Concord,JQF,USA,KJQF,Concord Regional Airport,P-N,"90,338"
Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,"224,541"
Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,"848,261"
Greenville,PGV,PGV,KPGV,Pitt-Greenville Airport,P-N,"47,457"
Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"149,987"
New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,"106,110"
Raleigh,RDU,RDU,KRDU,Raleigh-Durham International Airport,P-M,"5,401,714"
Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-N,"413,185"
NORTH DAKOTA,,,,,,
Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,"273,980"
Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,"16,822"
Fargo,FAR,FAR,KFAR,Hector International Airport,P-S,"402,976"
Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport,P-N,"132,557"
Minot,MOT,MOT,KMOT,Minot International Airport,P-N,"150,634"
Williston,ISN,ISN,KISN,Sloulin Field International Airport,P-N,"68,829"
OHIO,,,,,,
Akron / Canton,CAK,CAK,KCAK,Akron-Canton Regional Airport,P-S,"685,553"
Cincinnati,LUK,LUK,KLUK,Cincinnati Municipal Lunken Airport,P-N,"25,706"
Cleveland,CLE,CLE,KCLE,Cleveland-Hopkins International Airport,P-M,"4,083,476"
Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,"3,567,864"
Columbus,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,"102,751"
Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,"1,019,922"
Toledo,TOL,TOL,KTOL,Toledo Express Airport,P-N,"92,522"
Youngstown / Warren,YNG,YNG,KYNG,Youngstown-Warren Regional Airport / Youngstown ARS,P-N,"53,633"
OKLAHOMA,,,,,,
Lawton,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport,P-N,"51,088"
Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport,P-S,"1,796,473"
Tulsa,TUL,TUL,KTUL,Tulsa International Airport,P-S,"1,342,315"
OREGON,,,,,,
Eugene,EUG,EUG,KEUG,Eugene Airport (Mahlon Sweet Field),P-N,"483,224"
Medford,MFR,MFR,KMFR,Rogue Valley International-Medford Airport,P-N,"401,469"
North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,"14,719"
Portland,PDX,PDX,KPDX,Portland International Airport,P-L,"9,071,154"
Redmond,RDM,RDM,KRDM,Redmond Municipal Airport (Roberts Field),P-N,"306,517"
PENNSYLVANIA,,,,,,
Allentown,ABE,ABE,KABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport),P-N,"324,511"
Erie,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,"87,647"
Harrisburg / Middletown,MDT,MDT,KMDT,Harrisburg International Airport,P-S,"589,511"
Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,"146,127"
Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"14,564,419"
Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"3,986,114"
State College,UNV,SCE,KUNV,University Park Airport,P-N,"134,312"
Wilkes-Barre / Scranton,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,"232,855"
Williamsport,IPT,IPT,KIPT,Williamsport Regional Airport,P-N,"19,320"
RHODE ISLAND,,,,,,
Block Island / New Shoreham,BID,BID,KBID,Block Island State Airport,P-N,"17,225"
Providence / Warwick,PVD,PVD,KPVD,Theodore Francis Green State Airport,P-S,"1,803,000"
Westerly,WST,WST,KWST,Westerly State Airport,P-N,"17,218"
SOUTH CAROLINA,,,,,,
Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-S,"1,811,695"
Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,"553,658"
Florence,FLO,FLO,KFLO,Florence Regional Airport,P-N,"45,300"
Greenville,GSP,GSP,KGSP,Greenville-Spartanburg International Airport (Roger Milliken Field),P-S,"991,276"
Hilton Head Island,HXD,HHH,KHXD,Hilton Head Airport,P-N,"30,956"
Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,"944,849"
SOUTH DAKOTA,,,,,,
Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,"26,529"
Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport,P-N,"272,537"
Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-S,"510,105"
TENNESSEE,,,,,,
Bristol / Johnson City / Kingsport,TRI,TRI,KTRI,Tri-Cities Regional Airport (Tri-Cities Regional TN/VA),P-N,"204,926"
Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-N,"422,442"
